Classifier,Accuracy,F1-score,Precision,Recall
"SVM simple, correlation",0.582,0.678,0.561,0.858
"SVM simple, partial corr",0.513,0.678,0.513,1.000
"SVM simple, tangent",0.513,0.678,0.513,1.000
"SVM tuned, correlation",0.680,0.690,0.684,0.700
"SVM tuned, partial corr",0.654,0.670,0.653,0.691
"SVM tuned, tangent",0.700,0.711,0.700,0.726
"NN simple, tangent",0.679,0.693,0.681,0.709
"NN complex, tangent",0.513,0.678,0.513,1.000
